标题,小区名,房屋详情,关注人数/发布时间,总价,单价,经度,纬度,格式化地址,地址级别
幸福里大三房 好楼层 前排无遮挡 看房预约,华润幸福里 ,3室1厅 | 115.32平米 | 南 北 | 其他 | 中楼层(共26层)  | 塔楼,2人关注 / 1个月以前发布,212万,"18,384元/平",118.888859,32.130680,江苏省南京市栖霞区华润幸福里,住宅区
西堤国际五区 大四房 满五年居家装修  诚心出售,银城西堤国际五区 ,4室2厅 | 156.58平米 | 南 | 简装 | 低楼层(共18层)  | 板楼,2人关注 / 一年前发布,798万,"50,965元/平",118.734637,32.002194,江苏省南京市建邺区银城西堤国际,住宅区
凤凰花园城  电梯房  采光好  非顶楼 满五年,凤凰花园城清溪园 ,2室1厅 | 65.16平米 | 南 | 其他 | 高楼层(共9层)  | 板塔结合,9人关注 / 一年前发布,213万,"32,689元/平",118.745126,32.042779,江苏省南京市鼓楼区凤凰花园城清溪园,住宅区
南北通透满五唯一得房率高采光不挡户型方正业主诚心,海润枫景家园 ,2室2厅 | 86.08平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,9人关注 / 一年前发布,88万,"10,224元/平",118.726210,32.162896,江苏省南京市浦口区海润枫景家园,住宅区
锁金新庄06年电梯房苏宁银河物业双南双阳台双地铁,赞成湖畔居 ,2室2厅 | 90.46平米 | 南 | 其他 | 中楼层(共11层)  | 板楼,3人关注 / 7个月以前发布,265万,"29,295元/平",118.804608,32.082138,江苏省南京市玄武区湖畔居,住宅区
1号线双龙大道站 武夷商城电梯房 两居室,武夷商城 ,2室1厅 | 97.65平米 | 南 | 精装 | 中楼层(共16层)  | 塔楼,9人关注 / 6个月以前发布,169万,"17,307元/平",118.821888,31.965994,江苏省南京市江宁区武夷商城,住宅区
赤壁路 水佐岗 舒适三房 中楼层,水佐岗 ,3室1厅 | 90.2平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,2人关注 / 1个月以前发布,277万,"30,710元/平",118.763079,32.067601,江苏省南京市鼓楼区水佐岗,住宅区
尧化门 尧顺佳园 五室 精装 好房,尧顺佳园 ,3室1厅 | 86.53平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,125万,"14,446元/平",118.892955,32.127571,江苏省南京市栖霞区尧顺佳园,住宅区
精装三房 领包入住 看房方便 急售,翠屏诚园 ,2室2厅 | 85.38平米 | 南 | 精装 | 27层  | 塔楼,8人关注 / 4个月以前发布,188万,"22,020元/平",118.833824,31.869836,江苏省南京市江宁区翠屏诚园,住宅区
西岗家园 北区   两房 业主出国 急售  看房随时,西岗家园南区 ,2室1厅 | 69.46平米 | 南 | 毛坯 | 中楼层(共26层)  | 暂无数据,4人关注 / 4个月以前发布,51万,"7,343元/平",118.999530,32.098915,江苏省南京市栖霞区西岗家园南区,住宅区
双南 边户 全明 户型方正 采光好,小庄子 ,2室1厅 | 81.2平米 | 南 | 简装 | 高楼层(共6层)  | 板塔结合,0人关注 / 4个月以前发布,180万,"22,168元/平",118.764342,32.029939,江苏省南京市建邺区小庄子,村庄
适合居家养老 客厅宽敞方正 采光好 ，视线好...,翠屏城 ,3室2厅 | 84.93平米 | 南 | 毛坯 | 中楼层(共33层)  | 板塔结合,3人关注 / 4个月以前发布,62万,"7,301元/平",118.857791,31.795260,江苏省南京市江宁区奥斯博恩庄园,住宅区
精装修自住用房 置换城里房子 换房出售,盛江花苑樱花园 ,3室2厅 | 110.94平米 | 南 北 | 其他 | 中楼层(共18层)  | 板楼,0人关注 / 16天以前发布,89万,"8,023元/平",118.600822,31.862469,江苏省南京市江宁区盛江花苑樱花园,住宅区
龙湖精装三大件交付，2022年1月1日交付新小区,龙湖水晶郦城 ,3室1厅 | 83.08平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 6天以前发布,95万,"11,435元/平",118.580867,31.854540,江苏省南京市江宁区龙湖·水晶郦城,住宅区
一线江景好楼层 精装修拎包入住 有产权20平米车库,明发滨江新城大三期 ,4室2厅 | 139.03平米 | 南 | 精装 | 高楼层(共34层)  | 塔楼,2人关注 / 5个月以前发布,229万,"16,472元/平",118.743827,32.129800,江苏省南京市浦口区明发·滨江新城,住宅区
宏图上水云锦二期 精装大三房 全新未住 高楼层 有车位,宏图上水云锦二期 ,3室2厅 | 130.68平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,8人关注 / 1个月以前发布,850万,"65,045元/平",118.742354,32.014942,江苏省南京市建邺区宏图·上水云锦,住宅区
高桥门 银龙花园二期 正规三室 好楼层好位置 诚售,银龙花园二期 ,3室1厅 | 86.69平米 | 南 | 毛坯 | 中楼层(共6层)  | 板塔结合,0人关注 / 一年前发布,160万,"18,457元/平",118.851010,32.001714,江苏省南京市秦淮区银龙花园二期,住宅区
亚东滨江和园 边户大三房 好楼层拎包入住,亚东滨江和园 ,3室2厅 | 119.23平米 | 南 | 精装 | 高楼层(共28层)  | 板楼,1人关注 / 3个月以前发布,136万,"11,407元/平",118.632299,32.044786,江苏省南京市浦口区亚东滨江和园,住宅区
朗诗洋房，精装三房，次顶楼，急售,朗诗青春街区 ,3室2厅 | 81.27平米 | 南 | 其他 | 高楼层(共8层)  | 板楼,5人关注 / 5个月以前发布,96万,"11,813元/平",,,,
南站商圈 70年住宅  采光充足 配套设施齐全,左邻右里家园泊客公寓 ,1室1厅 | 44.98平米 | 南 | 简装 | 中楼层(共11层)  | 板楼,4人关注 / 3个月以前发布,75万,"16,675元/平",118.810186,31.961156,江苏省南京市江宁区左邻右里泊客公寓,住宅区
新河一村小区 无遮挡 中间位置 采光好,新河一村北区 ,2室1厅 | 54.38平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,368万,"67,672元/平",118.735897,32.069336,江苏省南京市鼓楼区新河一村(北区),住宅区
三条巷精装单室套，全明户型，采光好，户型方正,三条巷(鼓楼) ,1室1厅 | 40.75平米 | 南 | 精装 | 7层  | 板楼,11人关注 / 一年前发布,105万,"25,767元/平",118.769943,32.066814,江苏省南京市鼓楼区,区县
新街口延龄巷太平南路钟英好房出售,延龄巷 ,2室1厅 | 47.61平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,2人关注 / 2个月以前发布,208万,"43,689元/平",118.792150,32.039070,江苏省南京市秦淮区延龄巷,道路
花港芙蓉园两房，中间楼层，户型方正，采光好,花港幸福城芙蓉园 ,2室1厅 | 67.98平米 | 南 北 | 其他 | 中楼层(共18层)  | 板楼,0人关注 / 3个月以前发布,72万,"10,592元/平",118.898303,32.032386,江苏省南京市栖霞区花港南湾营煦康苑芙蓉园(西南3门),兴趣点
新城璞樾和山 挑高公寓 地铁 万达 诚心出售,新城璞樾和山 ,1室1厅 | 30.08平米 | 南 | 其他 | 中楼层(共5层)  | 暂无数据,2人关注 / 3个月以前发布,50万,"16,623元/平",118.973185,32.113784,江苏省南京市栖霞区新城璞樾和山,住宅区
有轨电车 悦民南苑 大三房 双卫  有21平储藏室,悦民公寓南苑 ,3室2厅 | 122.51平米 | 南 | 其他 | 高楼层(共6层)  | 板塔结合,2人关注 / 2个月以前发布,138万,"11,265元/平",118.920719,32.041970,江苏省南京市江宁区悦民公寓南苑,住宅区
高桥门 银龙花园二期 正规三室 好楼层好位置 诚售,银龙花园二期 ,3室1厅 | 86.69平米 | 南 | 毛坯 | 中楼层(共6层)  | 板塔结合,0人关注 / 一年前发布,160万,"18,457元/平",118.851010,32.001714,江苏省南京市秦淮区银龙花园二期,住宅区
蓁巷小区 中间楼层 朝南 阳光刺眼 边户 房龄新 环境好,蓁巷 ,1室1厅 | 38.59平米 | 东南 | 精装 | 中楼层(共7层)  | 板楼,7人关注 / 4个月以前发布,139万,"36,020元/平",118.793591,32.053387,江苏省南京市玄武区蓁巷,道路
金域国际精装修的   带电梯的房子   看中价格可谈,万科金域国际 ,3室2厅 | 116.37平米 | 南 北 | 简装 | 高楼层(共28层)  | 板楼,8人关注 / 一年前发布,210万,"18,046元/平",118.860797,31.957207,江苏省南京市江宁区万科金域国际,住宅区
锦汇苑，地铁11号线 房主自住精装修,锦汇苑 ,3室1厅 | 106.12平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,7人关注 / 一年前发布,116万,"10,932元/平",118.709141,32.108532,江苏省南京市浦口区锦汇苑,住宅区
两房 采光好 诚心出售 东山街道 东山金元宝内,金箔家园 ,2室1厅 | 55.3平米 | 南 | 简装 | 高楼层(共8层)  | 板塔结合,2人关注 / 4个月以前发布,60万,"10,850元/平",118.796624,32.059344,江苏省南京市,市
麒麟科创园中间楼层 采光无遮挡 业主诚售 大四房毛坯,启迪方洲朗园 ,4室1厅 | 127.18平米 | 南 北 | 其他 | 中楼层(共33层)  | 板楼,3人关注 / 一年前发布,245万,"19,265元/平",,,,
此房精装修 三房两卫户型 户型方正居住舒适,鸿裕华庭 ,3室2厅 | 127.07平米 | 北 南 | 其他 | 中楼层(共6层)  | 板楼,1人关注 / 4个月以前发布,148万,"11,648元/平",118.938290,31.934673,江苏省南京市江宁区鸿裕华庭,住宅区
西堤国际五区 大四房 满五年居家装修  诚心出售,银城西堤国际五区 ,4室2厅 | 156.58平米 | 南 | 简装 | 低楼层(共18层)  | 板楼,2人关注 / 一年前发布,798万,"50,965元/平",118.734637,32.002194,江苏省南京市建邺区银城西堤国际,住宅区
尧化门 尧顺佳园 五室 精装 好房,尧顺佳园 ,3室1厅 | 86.53平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,125万,"14,446元/平",118.892955,32.127571,江苏省南京市栖霞区尧顺佳园,住宅区
吉庆里新上边户三房 二次软装保养的很好 另有车位,禹洲吉庆里 ,3室2厅 | 87.84平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,5人关注 / 5个月以前发布,390万,"44,399元/平",118.757847,32.004871,江苏省南京市雨花台区禹洲吉庆里,住宅区
【急售】上玄武 次新房 6号线 精装三大件 锦麟融誉府,锦麟融誉府 ,3室2厅 | 95.41平米 | 南 北 | 精装 | 低楼层(共26层)  | 暂无数据,4人关注 / 4个月以前发布,288万,"30,186元/平",118.825097,32.108450,江苏省南京市栖霞区锦麟融誉府,住宅区
龙眠大道地铁口 采光无遮挡精装修拎包入住 无个税,天景山公寓如意苑 ,3室1厅 | 106.61平米 | 南 | 其他 | 低楼层(共18层)  | 板塔结合,3人关注 / 2个月以前发布,158万,"14,821元/平",118.884076,31.944614,江苏省南京市江宁区天景山公寓如意苑,住宅区
此房满五年 楼下地铁口 业主急售 看房方便,幕府三村 ,3室1厅 | 70.24平米 | 南 | 其他 | 中楼层(共5层)  | 暂无数据,1人关注 / 2个月以前发布,155万,"22,068元/平",118.776846,32.111691,江苏省南京市鼓楼区幕府三村,村庄
满二 产权清晰 边户好楼层 采光无遮挡,茉莉园 ,3室1厅 | 88.45平米 | 南 北 | 其他 | 中楼层(共18层)  | 板楼,2人关注 / 4个月以前发布,107万,"12,098元/平",118.796624,32.059344,江苏省南京市,市
万科物业  南站板块 总价低三大件交付,绿地玉晖 ,3室2厅 | 99.58平米 | 南 | 精装 | 低楼层(共31层)  | 板塔结合,13人关注 / 2个月以前发布,350万,"35,148元/平",118.791236,31.977179,江苏省南京市雨花台区绿地玉晖,住宅区
河西奥体保利香槟三房两卫南北通透,保利香槟国际 ,3室2厅 | 121.52平米 | 南 北 | 毛坯 | 中楼层(共19层)  | 板楼,9人关注 / 4个月以前发布,499万,"41,064元/平",118.717267,31.981169,江苏省南京市建邺区保利·香槟国际,住宅区
浦泰和天下3期 业主诚心出售 精装3房 随时看房,浦泰和天下三期 ,3室2厅 | 91.72平米 | 南 | 精装 | 高楼层(共12层)  | 板楼,1人关注 / 3个月以前发布,144万,"15,700元/平",118.739062,32.134277,江苏省南京市浦口区浦泰和天下三期,住宅区
精装三房 领包入住 看房方便 急售,翠屏诚园 ,2室2厅 | 85.38平米 | 南 | 精装 | 27层  | 塔楼,8人关注 / 4个月以前发布,188万,"22,020元/平",118.833824,31.869836,江苏省南京市江宁区翠屏诚园,住宅区
西岗家园 北区   两房 业主出国 急售  看房随时,西岗家园南区 ,2室1厅 | 69.46平米 | 南 | 毛坯 | 中楼层(共26层)  | 暂无数据,4人关注 / 4个月以前发布,51万,"7,343元/平",,,,
长阳花园 小三房 银城汇文不占 带地下室 随时看,长阳花园 ,3室1厅 | 99.83平米 | 南 北 | 其他 | 低楼层(共7层)  | 板楼,3人关注 / 6个月以前发布,499万,"49,985元/平",118.730596,32.048363,江苏省南京市鼓楼区长阳花园,住宅区
明故宫地铁 双南户型 中间楼层 98年房龄,后标营 ,2室1厅 | 56.7平米 | 南 | 简装 | 中楼层(共7层)  | 板塔结合,9人关注 / 2个月以前发布,105万,"18,519元/平",118.827420,32.035700,江苏省南京市玄武区后标营,村庄
边户 满二无增值税，毛坯，楼龄新，交通便利,朗诗青春街区 ,3室2厅 | 88.21平米 | 东 南 西 | 其他 | 中楼层(共11层)  | 板楼,1人关注 / 一年前发布,100万,"11,337元/平",118.850737,31.777761,江苏省南京市江宁区朗诗青春街区,住宅区
上叠，带露台，房东诚心出售，视野开阔采光充,银城旭辉上淮铂悦府 ,4室2厅 | 125.45平米 | 南 | 毛坯 | 高楼层(共6层)  | 暂无数据,5人关注 / 一年前发布,490万,"39,060元/平",118.838430,31.865420,江苏省南京市江宁区银城旭辉·上淮铂悦府,住宅区
叠墅下叠满2年，东边户前后院子80平,瑞景文华 ,4室2厅 | 160.07平米 | 南 | 其他 | 低楼层(共4层)  | 板楼,93人关注 / 一年前发布,518万,"32,361元/平",118.787996,31.923172,江苏省南京市江宁区瑞景文华,住宅区
五号线地铁口电梯房 朝天宫张府园 鼎新大厦 有物业,鼎新大厦 ,3室1厅 | 99.19平米 | 东 西 北 | 精装 | 低楼层(共33层)  | 塔楼,5人关注 / 一年前发布,210万,"21,172元/平",118.776220,32.031460,江苏省南京市秦淮区鼎新大厦,兴趣点
业主诚心出售，可以随时看房，配套设施齐全，交通便利,海都嘉园 ,3室2厅 | 102.42平米 | 南 | 毛坯 | 高楼层(共6层)  | 板楼,24人关注 / 一年前发布,130万,"12,693元/平",118.635796,32.070451,江苏省南京市浦口区海都嘉园,住宅区
大石桥小区 木材厂房改 精装两房 有院子 采光充足,新安里 ,2室1厅 | 50.79平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,1人关注 / 8个月以前发布,187万,"36,819元/平",118.788811,32.052565,江苏省南京市玄武区新安里,道路
望江春和园 总价低 三房两卫 中间楼层 光线不挡,望江春和园 ,3室1厅 | 109.73平米 | 东南 | 毛坯 | 低楼层(共33层)  | 板楼,2人关注 / 1个月以前发布,74万,"6,744元/平",118.594968,32.009704,江苏省南京市浦口区望江春和园(建设中),住宅区
北望紫金山，满五唯一，大金中 央空调，墨瑟门窗，,紫金华府A区 ,3室1厅 | 107.97平米 | 南 北 | 其他 | 中楼层(共11层)  | 板楼,0人关注 / 15天以前发布,398万,"36,863元/平",,,,
满五唯一地铁6号线在建采光好地铁口此房楼层好,花园路70号 ,2室1厅 | 72.09平米 | 南 | 毛坯 | 中楼层(共7层)  | 板塔结合,2人关注 / 13天以前发布,138万,"19,143元/平",118.821021,32.083270,江苏省南京市玄武区花园路70号,门址
精装四房两卫科技住宅地段好小区新,花语江南 ,4室1厅 | 170.83平米 | 南 北 | 其他 | 中楼层(共26层)  | 暂无数据,4人关注 / 1个月以前发布,780万,"45,660元/平",118.755811,32.003020,江苏省南京市雨花台区花语江南,住宅区
精装大三房 拎包入住 五矿物业 诚意出售,语山棠花园A区 ,3室1厅 | 108.22平米 | 南 北 | 精装 | 中楼层(共34层)  | 板楼,2人关注 / 1个月以前发布,209万,"19,313元/平",118.620322,32.036936,江苏省南京市浦口区江山大境A区,住宅区
晨光苑简装两室  中间楼层  采光好   业主诚心出售,晨光苑 ,2室1厅 | 64.25平米 | 南 | 简装 | 中楼层(共34层)  | 板楼,1人关注 / 15天以前发布,64万,"9,962元/平",118.922415,32.047787,江苏省南京市江宁区晨光苑,住宅区
新推雨花梅山 上怡二村 采光无遮挡 全明一楼带院子,上怡二村 ,2室1厅 | 59.76平米 | 东南 | 其他 | 低楼层(共6层)  | 板楼,3人关注 / 1个月以前发布,80万,"13,387元/平",118.639498,31.903347,江苏省南京市雨花台区上怡二村,村庄
闹中取静，采光好，全明，视野好，诚心卖,钓鱼巷小区 ,2室1厅 | 45.12平米 | 南 | 其他 | 中楼层(共7层)  | 板楼,1人关注 / 1个月以前发布,116万,"25,710元/平",118.796809,32.025777,江苏省南京市秦淮区钓鱼巷小区,住宅区
诚心出售 价格能谈 看房方便  楼层好位置佳,东流佳苑 ,2室1厅 | 62.32平米 | 南 | 其他 | 低楼层(共27层)  | 暂无数据,0人关注 / 1个月以前发布,63万,"10,110元/平",118.961244,32.082016,江苏省南京市江宁区东流佳苑,住宅区
业主自住装修   精装三房    采光好,招商依云郡 ,3室2厅 | 85.31平米 | 南 | 其他 | 中楼层(共11层)  | 板楼,3人关注 / 9个月以前发布,115万,"13,481元/平",118.846355,31.776297,江苏省南京市江宁区招商依云郡,住宅区
三楼环境好有物业，双地铁业主急售,宁和新寓 ,3室1厅 | 85.6平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,34人关注 / 一年前发布,285万,"33,295元/平",118.764192,32.078786,江苏省南京市鼓楼区宁和新寓,住宅区
央企五矿 地铁口 全屋定制 一梯一户 一次没住过,五矿澜悦栖原 ,3室2厅 | 118.48平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,31人关注 / 一年前发布,362万,"30,554元/平",118.834850,31.866681,江苏省南京市江宁区五矿澜悦栖原(北门),兴趣点
仙林湖 融信世纪东方次新房 采光好 南北通透 拎包入住,融信儒林花园 ,2室2厅 | 79.77平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,9人关注 / 一年前发布,202万,"25,323元/平",,,,
江心洲低密度洋房 银城物业毛坯交付 户型方正采光通透,长岛观澜沁园 ,3室2厅 | 131.58平米 | 南 北 | 其他 | 中楼层(共7层)  | 暂无数据,12人关注 / 一年前发布,450万,"34,200元/平",118.746091,32.005230,江苏省南京市建邺区沁园,兴趣点
绿城品质  毛坯自由发挥 业主诚心卖,绿城深蓝mix悦享家 ,1室1厅 | 50.86平米 | 南 | 毛坯 | 高楼层(共18层)  | 板塔结合,9人关注 / 8个月以前发布,60.8万,"11,955元/平",,,,
中间楼层，还有一个大露台不在产证面积，精装三房,临江新寓 ,3室1厅 | 76.22平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,32人关注 / 8个月以前发布,426万,"55,891元/平",118.728533,32.043071,江苏省南京市鼓楼区临江新寓(北门),兴趣点
河西中 电梯房 不临街 采光视野好 精装修 满五年唯一,天成苑 ,2室2厅 | 94.09平米 | 南 北 | 精装 | 中楼层(共21层)  | 板塔结合,21人关注 / 9个月以前发布,298万,"31,672元/平",118.746300,32.013898,江苏省南京市建邺区天成苑,住宅区
吾悦广场旁 金域华府 纯边户 挑高复式 采光好,世纪城金域华府 ,2室1厅 | 77.62平米 | 西南 | 精装 | 中楼层(共26层)  | 板楼,0人关注 / 2个月以前发布,116万,"14,945元/平",,,,
湖南路 中山万豪 电梯两房 银城物业 采光好,中商万豪 ,2室1厅 | 59.07平米 | 东北 | 精装 | 高楼层(共57层)  | 板楼,4人关注 / 9个月以前发布,108万,"18,284元/平",118.796624,32.059344,江苏省南京市,市
张府园地铁口 紧靠熙南里 双南电梯三房,白衣庵 ,3室2厅 | 107.29平米 | 南 北 | 其他 | 中楼层(共9层)  | 板楼,1人关注 / 一年前发布,299万,"27,869元/平",118.782887,32.027990,江苏省南京市秦淮区白衣庵,道路
南邮校园内广东路38号 南北两房 客厅朝南 全明 有车位,广东路 ,2室1厅 | 65.27平米 | 南 | 精装 | 高楼层(共7层)  | 板塔结合,4人关注 / 一年前发布,160万,"24,514元/平",,,,
翠岭银河中层边户 双卧朝南 方正 客厅大 诚心出售,翠岭银河 ,3室1厅 | 88.95平米 | 南 | 其他 | 中楼层(共10层)  | 板塔结合,5人关注 / 一年前发布,155万,"17,426元/平",118.757562,31.952375,江苏省南京市雨花台区翠岭银河,住宅区
科利华 边户 低总价 中间楼层,鸡鸣山庄 ,2室1厅 | 56.68平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,3人关注 / 一年前发布,239万,"42,167元/平",118.790503,32.062090,江苏省南京市玄武区鸡鸣山庄,村庄
城中大润发  康利华府   毛坯三房  随时看房,康利华府 ,3室2厅 | 106.71平米 | 南 | 毛坯 | 中楼层(共27层)  | 塔楼,0人关注 / 6个月以前发布,85万,"7,966元/平",119.039714,31.640552,江苏省南京市溧水区康利华府,住宅区
房子没有增值税 有阁楼 位置好 诚心出售 看房方便,东宝花园 ,5室1厅 | 88.42平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,4人关注 / 1个月以前发布,390万,"44,108元/平",118.737929,32.043807,江苏省南京市鼓楼区东宝花园,住宅区
满五唯一 中间楼层 采光好 东边户 南北通透 瑞金路,瑞金北村 ,2室1厅 | 72.55平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,52人关注 / 一年前发布,235万,"32,392元/平",118.811587,32.035704,江苏省南京市秦淮区瑞金北村,村庄
世贸成品  次新小区  精装修交付 中间楼层,世茂城品 ,3室2厅 | 88.76平米 | 南 北 | 精装 | 中楼层(共20层)  | 板塔结合,6人关注 / 一年前发布,360万,"40,559元/平",118.760300,31.970860,江苏省南京市雨花台区世茂城品,住宅区
双南格局采光不挡  方正户型很实用  不是顶楼,滨江花园东园 ,2室1厅 | 49.16平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,6人关注 / 一年前发布,75万,"15,257元/平",118.755387,32.097155,江苏省南京市鼓楼区滨江花园东园(东南门),兴趣点
义德 精装三房 户型方正 税少 诚心出售 配套齐全,义德西苑 ,3室1厅 | 86.1平米 | 南 | 精装 | 低楼层(共34层)  | 板楼,2人关注 / 5个月以前发布,106万,"12,312元/平",118.696802,31.944452,江苏省南京市雨花台区义德西苑,住宅区
五塘地铁口，电梯房，房间带阳台，视野开阔，,白云雅居 ,2室1厅 | 77.05平米 | 南 | 其他 | 中楼层(共11层)  | 板塔结合,0人关注 / 18天以前发布,165万,"21,415元/平",118.778237,32.113548,江苏省南京市鼓楼区白云雅居,住宅区
夫子庙地铁口  夫子庙景区 长白街淮清桥 业主诚心出售,钓鱼巷小区 ,2室1厅 | 50.84平米 | 南 北 | 简装 | 中楼层(共7层)  | 暂无数据,1人关注 / 19天以前发布,118万,"23,211元/平",118.796809,32.025777,江苏省南京市秦淮区钓鱼巷小区,住宅区
岔路口急售两房，业主诚心出售价可谈,南方花园枫彩园北区 ,2室1厅 | 67.69平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,5人关注 / 15天以前发布,92万,"13,592元/平",118.822382,31.961106,江苏省南京市江宁区南方花园枫彩园,住宅区
夫子庙景区武定门地铁精装大2房带暖气南北通透非顶楼,琵琶小区 ,2室1厅 | 66.35平米 | 南 北 | 其他 | 高楼层(共6层)  | 板塔结合,0人关注 / 6天以前发布,180万,"27,129元/平",118.790612,32.017183,江苏省南京市秦淮区琵琶小区,住宅区
中间楼层，户型方正，毛坯房满两年，看房方便,金龙南郡 ,3室1厅 | 120平米 | 南 北 | 其他 | 高楼层(共11层)  | 暂无数据,0人关注 / 一年前发布,88万,"7,334元/平",119.012024,31.627496,江苏省南京市溧水区金龙南郡,住宅区
天润城 地铁口 小3房 出行方便,天润城第三街区 ,3室2厅 | 93.77平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,1人关注 / 4个月以前发布,126万,"13,438元/平",118.735971,32.145737,江苏省南京市浦口区天润城第三街区,住宅区
永初路地铁口此房满五年 大3房 业主诚心出售 总价低,金穗花园 ,3室1厅 | 90.52平米 | 南 | 简装 | 高楼层(共34层)  | 板塔结合,1人关注 / 4个月以前发布,148万,"16,350元/平",118.712510,31.968357,江苏省南京市建邺区金穗花园,住宅区
业主升级装修，大品牌家居，诚心售卖,世茂外滩新城 ,3室2厅 | 134.36平米 | 南 | 精装 | 中楼层(共55层)  | 板塔结合,6人关注 / 2个月以前发布,435万,"32,376元/平",,,,
小高层 自住装修 三开间朝南 密码钥匙 随时看房,启迪方洲智园 ,3室2厅 | 83.35平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,3人关注 / 2个月以前发布,165万,"19,797元/平",118.907670,32.029103,江苏省南京市江宁区启迪方洲智园,兴趣点
江北长江隧道口 万科品质 一梯一户 改善户型 配套成熟,首开万科江悦光年 ,4室2厅 | 129.89平米 | 南 | 其他 | 高楼层(共18层)  | 板楼,19人关注 / 2个月以前发布,350万,"26,946元/平",118.657637,32.076196,江苏省南京市浦口区江悦光年,住宅区
龙庭水岸三期 湖景房 精装修四房  保养好 拎包入住,万裕龙庭水岸 ,4室2厅 | 134.98平米 | 西南 | 其他 | 25层  | 板塔结合,7人关注 / 2个月以前发布,267.8万,"19,840元/平",118.903762,31.907005,江苏省南京市江宁区万裕龙庭水岸,住宅区
小区环境好 配套齐全 前面五遮挡 采光充足,长城苑 ,3室1厅 | 88.11平米 | 南 | 简装 | 低楼层(共34层)  | 板楼,0人关注 / 23天以前发布,83万,"9,421元/平",118.935319,32.044195,江苏省南京市江宁区长城苑,住宅区
新上 房龄新 楼层好 象房村 户型正 已出新 龙蟠汇,象房村 ,3室1厅 | 75.67平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,0人关注 / 30天以前发布,220万,"29,074元/平",118.807137,32.020291,江苏省南京市秦淮区象房村,村庄
此房为景观房，带一个产权车位，采光好，配套设施齐全,高淳碧桂园 ,3室2厅 | 93平米 | 南 北 | 其他 | 高楼层(共24层)  | 板楼,1人关注 / 26天以前发布,55万,"5,914元/平",118.889937,31.343264,江苏省南京市高淳区高淳碧桂园,住宅区
诚售！精装三大件  中楼层 双阳台 三室两厅两卫,卓越大江悦府 ,3室2厅 | 105.76平米 | 南 | 精装 | 26层  | 板楼,5人关注 / 6个月以前发布,269万,"25,435元/平",118.673765,32.065857,江苏省南京市浦口区卓越大江悦府,住宅区
低楼层 双南 近地铁 公交 莲花湖 吾悦广场,上怡二村 ,2室1厅 | 58.19平米 | 南 | 简装 | 低楼层(共6层)  | 板塔结合,1人关注 / 6个月以前发布,48万,"8,249元/平",118.639498,31.903347,江苏省南京市雨花台区上怡二村,村庄
龙江宝船宁工小区内少有的电梯房，中间楼层， 精装修,宁工新寓一村 ,2室1厅 | 63.62平米 | 南 | 精装 | 中楼层(共7层)  | 塔楼,4人关注 / 5个月以前发布,179万,"28,136元/平",118.736669,32.059033,江苏省南京市鼓楼区宁工新寓一村,村庄
南站商圈 花园小区  楼间距大 全天采光，拎包入住,南方花园枫彩园北区 ,2室1厅 | 52.84平米 | 南 北 | 精装 | 高楼层(共16层)  | 板楼,0人关注 / 5个月以前发布,118万,"22,332元/平",118.822382,31.961106,江苏省南京市江宁区南方花园枫彩园,住宅区
镇江路一楼带院子 双南 采光好 价格美丽,镇江路 ,2室1厅 | 58.21平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,6人关注 / 2个月以前发布,130万,"22,333元/平",118.754477,32.076496,江苏省南京市鼓楼区镇江路,道路
黑龙江路二巷 八巷 中间楼层三房 户型方正采光好,黑龙江路二巷 ,3室1厅 | 59.65平米 | 南 北 | 其他 | 中楼层(共5层)  | 板楼,1人关注 / 2个月以前发布,115万,"19,280元/平",118.777627,32.087218,江苏省南京市鼓楼区黑龙江路,道路
出价来谈 诚售 建邺区 总部汇集阿里巴巴 小米 58 苏酒,清荷园北园 ,3室2厅 | 90.4平米 | 南 北 | 其他 | 低楼层(共34层)  | 板楼,0人关注 / 5个月以前发布,153万,"16,925元/平",,,,
